size,num_threads,seq_time,naive_parallel_time,smart_parallel_time,task_parallel_time
100,1,7.1,71.5,26.5,33.6
100,2,7.1,561.6,78.8,281.8
100,4,7.1,1946,46.1,357.6
100,6,7.1,1674.5,45,333.6
100,8,7.1,1643.3,41.2,349.9
100,12,7.1,4129.2,44.4,613
100,16,8,6971.9,32.9,527.6
100,20,7.1,3214.6,46.2,963.2
100,26,7.2,6305.8,50.3,1364.2
100,32,7.1,7058.4,52.3,1544.9
200,1,30.1,284.9,66,70.9
200,2,31,1282.7,107.1,433.5
200,4,31,1358.8,84.8,522.2
200,6,30,1627.6,88.2,657.6
200,8,30,2922,84.9,873.3
200,12,30.3,1941.2,78.4,1313.1
200,16,31,4030,84.3,1926
200,20,31.2,4291.3,83.5,2539.2
200,26,30,6423,93.8,2857.7
200,32,31,6993.4,90.8,4315.2
400,1,120,1137.2,189.6,183.7
400,2,119.3,5161.8,200.4,694.2
400,4,119,4999.9,200.1,1098.7
400,6,119.3,5706.2,171.9,1421.9
400,8,120,6133.1,167.2,1776.4
400,12,119.7,4507.3,147.5,1979
400,16,120,7744.2,193.7,2985.7
400,20,119.9,6000.5,156.7,3522.8
400,26,119.9,9176.2,184.6,5056.7
400,32,120.5,10791.5,164,7211
800,1,474.6,4548.2,609.7,556.3
800,2,474.6,24136.4,485.9,1089.4
800,4,475.4,18378,420.4,1639
800,6,473.3,15068.3,316.3,2168.2
800,8,475.6,15750,394.1,3458.1
800,12,474.3,13817.9,313.3,3439.2
800,16,475.5,18118,341.2,5955
800,20,474.7,14665.7,315,7248.9
800,26,473.9,17774.3,293,12084.2
800,32,475.8,15748.7,312,12314.1
1600,1,1886.8,18144.5,2153.3,1892.9
1600,2,1886.8,75916.9,1366.6,1987.5
1600,4,1889.7,69930.8,1034,4128.2
1600,6,1887.1,62529.8,865.3,5507.9
1600,8,1888.1,51725.5,692.9,7391.8
1600,12,1892,49821,694.7,8214.6
1600,16,1886.4,45069.2,584.1,11547.1
1600,20,1891,50879,645.7,12358.9
1600,26,1891,43146.9,685.9,12796.7
1600,32,1887.8,42677.1,695.5,12718.4
3200,1,7535.2,72595.1,8041.9,6974.2
3200,2,7542.7,285240,4559.5,5022.7
3200,4,7523.3,288050,2598.8,5008.7
3200,6,7517.6,260300,1938.1,10550.8
3200,8,7526,230256,1757.8,13169.9
3200,12,7532.7,197612,1413.6,18927.6
3200,16,7529.5,218677,1416.6,25670.5
3200,20,7529.8,220229,1280.3,38323.8
3200,26,7527.8,168754,1362.9,29337.7
3200,32,7545.1,203684,1394,47547.8
6400,1,30105.9,290422,31144.6,26822.3
6400,2,30117.1,1.56764e+06,16255.3,15263.8
6400,4,30108,1.18649e+06,8526.4,8394.3
6400,6,30120,988723,5947.6,6385.2
6400,8,30107.5,951438,4670.2,11033.7
6400,12,30090.7,881426,3425.9,36769.4
6400,16,30107.3,844070,2975.3,51063.4
6400,20,30117.4,816766,2793.5,61247.5
6400,26,30122.6,769110,2691.4,91424.3
6400,32,30100.1,761178,2394.3,127472
